Datetime,Text,Like
2022-07-23 23:56:37+00:00,🖤🤍 #ZEPETO #제페토 #ゼペット #zepetoしてる人と繋がりたい https://t.co/sNwP1XhjLa,6
2022-07-23 21:58:23+00:00,"(´-`*)
#제페토 https://t.co/kS8EbPm84N",11
2022-07-23 21:42:53+00:00,"홍성군유흥업소
디마스쿨
더위시작
진천블루베리팜
겈들면으르러엉
마사지
볼수있어서좋았다
현관중문
제페토
올해도건강하게목표이루자 https://t.co/Xrm7ew6Wkx",0
2022-07-23 21:39:04+00:00,"양산시찜질방
봄처녀
진고군유흥업소
제페토
맘마타임
건강관리
19금 https://t.co/NoEgURo7AT",0
2022-07-23 21:18:21+00:00,"'저편 너머로'
웹소설 표지 느낌 
제목이랑 이름 생각나는대로 적음 
 
#ZEPETO #제페토 #ゼペット https://t.co/0qLbdNeZGh",36
2022-07-23 20:52:10+00:00,@LVUMS2 2년만에 제페토,0
2022-07-23 20:37:15+00:00,미치겠다 고예나랑 박예지한테 홀려서 2년만에 제페토 깔았음 https://t.co/dWyZOZC9yK,1
2022-07-23 20:08:27+00:00,난 그냥 인터넷 많이 하는 사람이엇는데 제페토때문에 인터넷도 많이 하면서 제페토까지 하는 사람됨,3
2022-07-23 19:59:00+00:00,"마감 언제해...

#제페토 #ZEPETO https://t.co/pQy3BZFajP",8
2022-07-23 19:56:33+00:00,@unlocktheswags 제페토과로 전과해,0
2022-07-23 19:29:10+00:00,@unlocktheswags 괜찮아요 강님 저 제페토 시작한지 대충 10일찬데 이미 제페토 본사에 카페트 하나는 깔아준것 같앙요!!,1
2022-07-23 19:27:47+00:00,@str1ike_ ㅋ ㅋ ㅋㅋㅋㅋㅋㅋ나랑도 제페토 햇!!,0
2022-07-23 19:21:28+00:00,"잠이 안와서 우리 셋째 꾸며주기••🧏🏻‍♀️
#제페토 #zepeto https://t.co/ekCUu0KtYH",13
2022-07-23 19:15:15+00:00,"한복 너무 좋아

#zepeto #제페토 https://t.co/THPrkKCdQy",7
2022-07-23 19:09:41+00:00,ㅃ 제페토 여캐 헤어 이렇게 생긴거 개만음 https://t.co/oASC5D5e9J,1
2022-07-23 19:08:37+00:00,방금까지 제페토에서 친구 만들고 온 잼민 박예지 https://t.co/p5Jm4y6zu0,0
2022-07-23 18:50:44+00:00,"우와 타쿠미님 템플렛에서 포즈만 바뀐건데도 분위기 달라져서 넘 신기 그래서 함 올려봄 
 
#zepeto #제페토 https://t.co/6cY4roAIQL",11
2022-07-23 18:29:49+00:00,피노키오를 만들었을 때의 제페토 할아버지의 심정을 조금은 이해한것 같아...🥹 https://t.co/75pQxbnq4j,3
2022-07-23 18:05:18+00:00,제페토로 드림주 만들기가 가능할까 머리 제대로 못 살릴 텐데,0
2022-07-23 18:00:39+00:00,"제페토
스마트소설
댕소통
신인개발팀
여동생
젤유지력
아직
신남 https://t.co/KlfvHcAoRd",0
2022-07-23 17:54:43+00:00,#ZEPETO #ゼペット #제페토 https://t.co/8xDW5bSZOj,0
2022-07-23 17:47:57+00:00,"#zepeto #제페토 #극락고등학교

새로운 느낌으루..✌🏻 https://t.co/I2rbMoy85P",4
2022-07-23 17:35:39+00:00,제페토엔정말별의별게다잇구나 https://t.co/yBHKkclWxC,2
2022-07-23 17:21:11+00:00,제페토 할아버지가 너무 잘생겼어요 https://t.co/ObgR9HWktD,0
2022-07-23 17:02:24+00:00,"피아노 뚱땅뚱땅 
책만 보면 잠이 솔솔 😴🎼 #제페토 https://t.co/9z34n6XO2g",14
2022-07-23 16:44:57+00:00,#제페토 #zepeto https://t.co/JMfVgtKk8b,0
2022-07-23 16:42:43+00:00,#zepeto #제페토 https://t.co/5yn7yxXwQz,0
2022-07-23 16:41:13+00:00,#제페토 #zepeto https://t.co/wOADPfb5R0,0
2022-07-23 16:26:32+00:00,가좍들과… 우당탕탕 #제페토 https://t.co/2q6WYagF2C,11
2022-07-23 16:08:57+00:00,드림주 학생(도만) 때 설정이 학교에선 모범생인데 밖에선 양키인 이중생활 설정인데... 아직 캐디컴이 안 왔음...그래서 오너캐 만들던 현질해 놓고 n개월 지난 제페토로 학교에서 약간 본성 드러낼 뻔 한 메이코 만들어 봄... 사실 갈색 머리도 가발임.. https://t.co/hCo3gbxZWL,2
2022-07-23 16:07:45+00:00,"하이암도리
#zepeto #제페토 https://t.co/plUpbqX2EC",6
2022-07-23 16:04:26+00:00,"알라뷰
#zepeto #제페토 https://t.co/v3K4oYTcfj",5
2022-07-23 15:56:37+00:00,"#제페토 #극락고등학교
#극락고는사랑을싣고 https://t.co/0nvonPEfA7",1
2022-07-23 15:43:45+00:00,"진짜 제페토 재미없는데 얘 꾸미려고 들어가고 얘 꾸미려고 젬 미션 함 ㅠ
남캔데 진짜 이쁘게 잘 만들어진 거 같음 https://t.co/IIIjU1c042",0
2022-07-23 15:35:17+00:00,"제페토 하시는분~,,,,,친구해요~,,,",0
2022-07-23 15:31:36+00:00,"DAY 5 : MASQUERADE

#ECICUT7DaysChallenge
#ZEPETO #제페토 #ゼペット https://t.co/KCCYri41xm",13
2022-07-23 15:24:13+00:00,"가만히 있는게 도와주는 환장할내사랑친구들🙂
#극락고등학교 #Geukrak_Highschool
#제페토 #ZEPETO 
https://t.co/sBEG2SzDcr
@I_seok__ @YerinVibes_zpt https://t.co/XVwwJFmz1T",5
2022-07-23 15:21:05+00:00,"제페토 포토 부스 화질 왜 이래요?
전보다 완전 낮아졌는데 저만 느껴요?",1
2022-07-23 15:09:19+00:00,"차라리 네가 ㄱㅔ이였으면 좋겠어 ㄴ ㄴ 네가 게이가 되어버렸으면 좋겠어 ㅇㅇ
#제페토 #극락고등학교 #Geukrak_Highschool https://t.co/cbhfqnOgvQ",6
2022-07-23 15:07:42+00:00,"교복 최고 😌

#ZEPETO #제페토 #ゼペット https://t.co/91nSu4wT73",12
2022-07-23 14:48:37+00:00,"@Soda_zpt  + 버튼으로 장면 추가, 오른쪽 소스 목록에서 + 버튼 누르고 게임 캡쳐 -&gt; 아래처럼 설정하면 제페토 화면이 똬 https://t.co/IR0vosTBsk",1
2022-07-23 14:46:16+00:00,@ttal594 제페토만 나오는디,0
2022-07-23 14:41:43+00:00,아제페토노잼 지울뻔,1
2022-07-23 14:33:15+00:00,https://t.co/SJug7AFeCa,9
2022-07-23 14:32:31+00:00,#ZEPETO #ゼペット #제페토 https://t.co/3V3I8yCM46,2
2022-07-23 14:28:33+00:00,"마감기한 아슬아슬... 업로드 완 료..
차마 자막 달 힘은 없었다고 한다..
#극락고등학교 #제페토 https://t.co/F7KgofjuxZ",37
2022-07-23 14:27:39+00:00,제페토 트친소 하고 싶은데 뭔 자캐?? 덕질? 이런 거 잇어서 당황함 내 캐릭은 자캐? 같은 건 아니고 걍 내 친구가 얼굴형 잡아준 거 귀여워서 그대로 키우는 거임,0
2022-07-23 14:19:28+00:00,"이김
과일맛술
칸영화제감독상수상
흰소띠대디
생선
강북구
제페토
원앤온리헤어샵
임실커피숍
진주중앙상권 https://t.co/RS5EfsWgow",0
2022-07-23 14:16:24+00:00,#혼월 #제페토 https://t.co/E8MhGWaQS3,13
2022-07-23 14:15:43+00:00,무재님과 우연히….❤️ #제페토 https://t.co/4ZYISQ5kBn,11
2022-07-23 14:08:37+00:00,"@kampoengecicut Day 6: Masquerade 

I've arrived, let's get this party started

#ZEPETO #제페토 #ゼペット #ECICUT7DaysChallenge https://t.co/KqN0rU4ttw",11
2022-07-23 14:06:16+00:00,"『있잖아, 하치.
그 어떤 억류에도 안간힘으로 버티는게 인생이라고, 난 생각했지만..
흘러가며 사는 건 그다지 바보 같은 것만은 아냐.
앞으로 나아갈 수만 있다면』
#제페토 #ZEPETO #ゼペット https://t.co/qVtxN0vxEG",4
2022-07-23 14:05:41+00:00,"Day - 5 Masquerade

gak liat ak pake penutup mata 

#ECICUT7DaysChallenge
#7DaysFashionChallenge
#ZEPETO #제페토 #ゼペット https://t.co/R3UxsrcpPm",7
2022-07-23 13:39:02+00:00,@heosug3 제페토도 기다려왔나봐요,1
2022-07-23 13:32:59+00:00,@jabanjabanjaban 어뭐야짜반이도제페토하네,0
2022-07-23 13:32:58+00:00,"#제페토트친소 #제페토 #zepeto

제가 당신을 사랑해도 될까요 https://t.co/nEerfcIHKd",5
2022-07-23 13:24:19+00:00,얘들아 제페토하자 ^^ https://t.co/NG4snUAyyg,0
2022-07-23 13:12:51+00:00,"[사회]
코레일, 영화 속 기차역 명소 ‘제페토’로 구현
280
https://t.co/VGuBbZ9eJN",0
2022-07-23 13:00:29+00:00,@str1ike_ ㅋㅋㅋ 나 친구랑 제페토 초딩 머시기로 싸운 적 있어 진짜 걔가 잘못했어,0
2022-07-23 12:59:08+00:00,나 잼민이들한테 인기 짱임 제페토에서 자꾸 애들이 나보고 친구할래요?? 이럼,5
2022-07-23 12:49:56+00:00,@str1ike_ 제페토?,0
2022-07-23 12:27:36+00:00,"#제페토 #ZEPETO #제페토편집 #제페토뮤비
𝐓𝐡𝐞 𝐦𝐮𝐬𝐢𝐜 𝐯𝐢𝐝𝐞𝐨 https://t.co/N9gWabtdhU",6
2022-07-23 12:09:16+00:00,#zepeto #제페토 https://t.co/dDXY9nVbyp,10
2022-07-23 11:54:28+00:00,안경너드 가보자고 #제페토 #zepeto #ZEPETO https://t.co/sIDZGuUwEA,16
2022-07-23 11:49:13+00:00,#마계 #제페토 https://t.co/EJndbNV4DO,1
2022-07-23 11:36:19+00:00,"제페토야 인형 걷는 속도 너무 느리다
하루빨리 발바닥에 바퀴 좀 달아줘라",2
2022-07-23 11:32:56+00:00,지민이 제페토 할아버지 공방에서 뚝딱뚝딱 배우고 있을거같은 요정같음..,1
2022-07-23 11:29:59+00:00,"一緒に写真とってくれるお友達が、ほしい、、ほしい、、
 #ZEPETO  #ゼペット #제페토 
 #ゼペットしてる人と繋がりたい https://t.co/fnGn2zGdSt",2
2022-07-23 11:06:11+00:00,"하 예전에는 커뮤 엔딩나고 제페토도 했는데
요새는 걍 커뮤도 안뛰고 애프터도 안함 https://t.co/XSKLAjSCRX",1
2022-07-23 10:49:44+00:00,"어린이집~고딩까지,, 소꿉친구,,
심지어 같은 아파트 살아

애들끼리 걔(🖤) 어때? 얘기나오면
착해 운동 공부 얼굴 잘해
분홍머리 걔 옆에만 있는 애

근데 얘가 분홍머리 좋아하면 어캄

+ 주변에서 너네 사겨?
💗 당연히 아니지;; 우린 걍 가족~
🖤 ㅎ,,아직,, ૮ . ̫ . ა,,

#극락고등학교 #제페토 https://t.co/GRrWXlJvHl",6
2022-07-23 10:49:42+00:00,"💗 무물보 끝~ 사진
💗 증명사진

#제페토 #zepeto #Geukrak_Highschool
#극락고등학교 https://t.co/d9Bau3xfiG",5
2022-07-23 10:49:40+00:00,"#극락고등학교 분홍머리 걔

극락고 다꾸녀로 유명함

다이어리 꾸미기가 아니고
💗 다 (Everything) 꾸미는 💗 ..

인스타 무물하면
머리색 튀어서 그런지
극락고 안친한 애들도 내적친밀감 가지고
괜히 질문 하나씩 보내보는 그런 애

항상 같이 다니는 애는.. 더보기

#Geukrak_Highschool #제페토 https://t.co/tQHTcxQtwU",11
2022-07-23 10:49:38+00:00,"요즘 맛들린 짓
제페토가 인형 네 개 뽑으면 도로시 스킬 써서 인형방패 만들기
도로시 실드가 제페토 인형에 적용됩니다",0
2022-07-23 10:25:32+00:00,@wpdlatm10 머리 안이 제페토인가 싶어요.,1
2022-07-23 10:22:06+00:00,"최근에 제페토로 에클닥로즈 춤 그 장면 하신거 보고 정말 신기하게 구경했어요...
그리고 당신의 그림들 너무 귀엽고 멋지고 아무튼 다 해요 금손....",0
2022-07-23 10:21:44+00:00,"WOO TO THE YOUNG TO THE WOO
Bersama @sspinkyruby

Id : everyyayy 

Zepeto : 
https://t.co/7oMhM83Rf1

@zepeto_official
@zepeto_kr
@zepeto_jp

#woototheyoungtothewoo #extraordinaryattorneywoo 
#ZEPETO #제페토 #ゼペット https://t.co/d6TJp6dqvv",8
2022-07-23 10:08:31+00:00,"7 Days Fashion Challenge
by @kampoengecicut 

♡˗ˏ✎*ೃ˚ :🎭: DAY 6 :; 

↳ ❝ [ ᴍᴀsǫᴜᴇʀᴀᴅᴇ ] ¡! ❞

in frame: non!on (@ jintakamu on zepeto). 

#ZEPETO #ゼペット #제페토
#ECICUT7DaysChallenge #7DaysFashionChallenge https://t.co/c4haUCXpLC",15
2022-07-23 09:57:40+00:00,"드랔 제페토 성냥이 퀸오하는 왜 내 글로벌계에 없는가
오늘부터 본계 아시아계로 바꿔야만",0
2022-07-23 09:53:40+00:00,테런 제페토 특 : 남이꾸민캐릭은 대부분 느그베라고 내캐릭이 제일 공주 ㅋㅋ,0
2022-07-23 09:45:22+00:00,#제페토_트친소 #제페토트친소 https://t.co/Ygjibd2dhS,20
2022-07-23 09:35:17+00:00,"애숙파 일루전❤️‍🔥
illusion Template ❤️‍🔥 
#제페토 #ゼペット #zepeto https://t.co/Cljkhvx0Ve",14
2022-07-23 09:23:46+00:00,"Short Movie Parody
"" Goblin ""

Id: Aprilosh29
(Zepeto: https://t.co/2nUj9RMknt )

#ZEPETO #제페토 #ゼペット #zepetorclass @zepeto_official https://t.co/yzPB9GXTij",8
2022-07-23 09:08:06+00:00,#zepeto #제페토 https://t.co/Emk3nnQyAu,4
2022-07-23 09:02:39+00:00,"키니일기
제페토아이템
추남그램
입원실
영탁불후의명곡_KBS
마인드달토바두기
신비아파트치킨 https://t.co/1Ec8uzmQJG",0
2022-07-23 08:53:15+00:00,이게 제페토인가 ㅎ 틱톡서 갑자기 많아짐 https://t.co/UvETXl6sO7,0
2022-07-23 08:51:22+00:00,"제페토에서 만나는 마르디 메크르디의 월드 맵, ‘마르디 메크르디 무드’ 오픈 https://t.co/ff3mUd36YS",0
2022-07-23 08:46:22+00:00,"#ZEPETO #제페토 #ゼペット #제페토트친소 #제페토_트친소

여캐1 남캐2 
젶토 와서 같이 놀아용 https://t.co/Nz1bHlw6fu",15
2022-07-23 08:40:48+00:00,@geonbaeg1 제페토.. 꼴받는것도 많은데춤도추고.. 사진도찍을수잇어서 귀여움..,0
2022-07-23 08:35:08+00:00,#제페토_트친소 https://t.co/VSqbRBhMgp,6
2022-07-23 08:27:05+00:00,제페토에서 마요이 만들어보기 https://t.co/fPEwv8BCYy,0
2022-07-23 08:17:23+00:00,"Day 6: Masquerade 🎭🎭

""Even though you know I'm here, you can't find me in this sea of ​​masks.""

#ZEPETO #ゼペット #제페토 #redcherry
#ECICUT7DaysChallenge #7DaysFashionChallenge https://t.co/GoPtYApsqc",17
2022-07-23 08:13:51+00:00,"둑이네 놀러왔어요!
둑이 집에는 닭이 있어요! #제페토 https://t.co/rbINr25ki4",6
2022-07-23 08:02:07+00:00,"JUNIOR vs SENIOR 🙇‍♀️
#ZEPETO #제페토 #ゼペット https://t.co/Q9RdsI2cS9",0
2022-07-23 07:58:45+00:00,@MARI__0n_ 제페토 재밋어?,0
2022-07-23 07:56:36+00:00,제페토? 얘상외로 재밋엇다,3
2022-07-23 07:47:53+00:00,"#ZEPETO #제페토 #ゼペット
ᴄᴜᴛᴇ ʀᴏsᴇ ʀᴀʙʙɪᴛ

https://t.co/xldv4yIGG5 https://t.co/KyoQoIJaDd",13
2022-07-23 07:38:13+00:00,"@f_DElBAo_5 ㅋ
ㅋ
ㅋ 기관에서 제페토 활용해서 뭐한다고 해보라고 해서 올만에 들갓는데 19년도에 만들엇던 얘가 남아잇더라고요 ㅋㄱㅋㄱㅋㄱㅋㄲㅋㅋ흐아앙 민스리찰떡해요 챱챱",0
2022-07-23 07:24:51+00:00,"ㅤ...join this trend[again]
ㅤ🎒📚🧮✏️

ㅡ
In frame : Gale Bersaudara
# 
#ZEPETO  #ゼペット #제페토 
ㅤ https://t.co/i1aaqfzPiy",3
2022-07-23 07:14:27+00:00,게더타운 제페토 오케이....,0
2022-07-23 07:06:44+00:00,"내가 창파오에 진심이었던 이유
ㄴ 이미 치파오에 미친사람이었기에
#제페토 #ZEPETO #zepeto https://t.co/JnIoEQ3mN3",14
2022-07-23 07:00:05+00:00,"⚠️FAKE DRAGON⚠️
#ZEPETO #제페토 #ゼペット https://t.co/ED2Ww6CuZv",27
2022-07-23 06:58:35+00:00,"메타버스를 알려드리기위해 내가 먼저 메타버스를경험해야하는 이상황 제페토 연습해오래 도라방쓰 
ㅋ
ㅋㅋ ㅋ
ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ",1
2022-07-23 06:53:22+00:00,"2번이나 거절당하구
우여곡절 끝에  저으ㅣ 첫맵이
출시되었습니당🥲💖
가좍들 놀러오세요우➰🤓💖
#ZEPETO #제페토
https://t.co/jhjIZ0ylyM https://t.co/2JH480Dxb0 https://t.co/FLtCiqTa5K",6
2022-07-23 06:48:55+00:00,"좋은말할때 사귀는게 좋을거다
#zepeto #제페토 https://t.co/IFuy7LkKON",21
2022-07-23 06:28:52+00:00,하... 제페토중독자됨 .... https://t.co/ZHPoxkzCB2,0
2022-07-23 06:12:55+00:00,"Time to put ur sneakers on!

#ZEPETO #ゼペット #제페토 @zepeto_official https://t.co/Hund5B3Pwb",2
2022-07-23 06:09:23+00:00,제페토친추하실분^^ https://t.co/o6tQIJg0ud,1
2022-07-23 05:44:54+00:00,⛓️한국 전통 의상. #ZEPETO #제페토 https://t.co/SjnV7D9FCV,30
2022-07-23 05:34:26+00:00,"내새끼
활력한방울
혜화역가볼만한곳
제페토
나주카페
라벤더
쌀미음
에스테틱
수도권나들이 https://t.co/QXNqxqkAsC",0
2022-07-23 05:21:27+00:00,제페토 카모 https://t.co/pnlpnj0dne,4
2022-07-23 05:03:30+00:00,심심해서 제페토 하고싶다,0
2022-07-23 04:50:10+00:00,"❧ DAY 6: MASQUERADE 

Find a mask and wear it well, so your true identity no one can tell.

#ZEPETO #제페토 #ゼペット  #ECICUT7DaysChallenge
#7DaysFashionChallenge https://t.co/yQTqGomcX2",18
2022-07-23 04:29:51+00:00,"#제페토_트친소 
제페토 뉴비... 사진 보정 좋아해요 취향 맞는 분 찾아갈게용 https://t.co/Lzv3dJjh2c",54
2022-07-23 04:25:31+00:00,"Day 6 : Masquerade

Presenting, Lady Hallie Mackey~

In Frame : 
— Mahalia Noel Mackey a.k.a Hallie

#ECICUT7DaysChallenge 
#ZEPETO #제페토 https://t.co/n6pdr4nEtk",14
