DATE,STAR,LIKE,DISLIKE,TITLE,REVIEW
2022-07-22 16:51:14,5,0,0,너무 고마워요…💗,"으아아아아아ㅏㅏㅏㅏ
드디어 크리템이!!!!!!!!!!
아아아아 고마워요오오오오❤️"
2022-07-22 11:25:05,1,0,0,후..,"아니 31일째인데 선물이 안보내져요. 제가 왠만하면 말 안하는데 저도 사정이 있고, 이건 아닌것 같습니다. 계속 회원가입 후 30일 어쩌고 진짜 어이없네요"
2022-07-22 07:54:59,5,0,0,"허위신고, 오류, 불찰도 검토 해주세요😥","저는 제페토 초창기 때부터 열심히 꾸준히 캐릭터를 키워 온 유저입니다. 저는 신고 먹을 일도 딱히 만든 적이 없고, 조용조용 평범하게 게임을 즐겼는데요. 오늘도 어김없이 월드에서 놀다 갑자기 로그아웃 되더니 서비스 이용 정지 안내라며 며칠 경고도 없이 그냥 바로 영구정지가 되버렸더라고요… 너무너무 놀랐고 상당히 당황스러웠습니다. 제가 잘못하거나 찔리는 게 있다면 그냥 넘어갔겠지만 정말 왜 정지가 됐는지, 혹시 오류나 단순한 불찰인건지 싶어 리뷰와 문의를 드립니다. 저는 이 게임에 제 재산을 탈탈 쏟아부어 약 20만원이 넘게 현질을 한 사람으로써 정말 속상하고 손발이 달달 떨리네요… 제페토 아이디는 churr._. 이고, 하루빨리 발 빠른 조치 취해주셨으면 하고 부탁드립니다. 제페토 언제나 재밌게 운영해주셔서 감사드려요🙇🏻‍♀️"
2022-07-22 07:13:59,1,0,0,ㅋ,"ㅈㄴ 잼민이들만 하는 게임임 
이거 왜함 장애새끼들아 ㅋㅋㅋㅋ
잼민이들아 걍 쳐자라 ㅆ바"
2022-07-22 02:14:56,5,0,0,좋음,"갑자기 제페토 메세지가 다 지워질수있나요?
지운건 아닌데 다 날아가는거라고 해야하나? 암튼 복구시키는 방법이랑 왜 날아갔는지 대답해주실수있나요?"
2022-07-21 23:46:51,3,0,0,개선할 점,제페토를 잘 사용하고있던 사람입니다 일단 제페토의 좋은점은 날로 사람들이 불편하다 한 점을 잘 개선해주고 있는 것입니다 캐릭터도 더 정교해졌고 크리템 선물도 가능해졌고 선물의 거절기능도 생겼습니다 이 외에 좋은점이 더 있지만 여기까지 말하겠습니다 이제 개선할 점입니다😖😡 저는 4년동안 한 계정을 열심히 키우고 현질도 많이하며 캐릭터도 예쁘게 만들었는데요 일단 현질유도가 조금 심한것이 문제이긴한데 저는 이걸 말하려 리뷰를 쓴것이 아닙니다 4년동안 현질을 엄청나게하고 열심히 키운 계정이 어제 갑자기 정지를 받았습니다 게시물은 올린적도 없고 이름이나 소개글에 제페토의 가이드라인을 어길만한 글을 쓰지도 않았습니다 젶메는 저의 친구들과만 했고 욕설을 사용하거나 성적인 말을 사용한 적도 없습니다 크루는 다른 사람의 크루에만 가입했을뿐 크루를 생성한적은 많이 없습니다 크루를 생성하더라도 가이드를 위반할만한 크루를 생성한 적이 없습니다 그런데 갑자기 정지를 받았고 정지받은 이유와 기간을 안알려주었습니다 기간 정지는 문의를 하면 알려주기야 합니다만 영구정지 등은 문의를 해도 제대로 알려주지 않습니다 정지를 당하게될때 정지된 계정입니다를 쓸 뿐만 아니라 왜 정지되었는지 크루라면 이크루로 인해 정지되었다 젶메라면 이내용으로 인해 정지되었다 게시물이라면 이게시물로 안해 정지되었다를 함께 알려주고 기간도 알려주셨으면 좋겠습니다 제 계정이 왜 정지되었는지 확실히 모르니 아무말없이 정지시킨 제페토를 원망하고 욕하게될 뿐입니다 개선해주세요
2022-07-21 20:35:00,5,0,0,제페토,고급지고 계산하는 능력이 발달되요
2022-07-21 10:28:44,3,0,0,다크모드 지원 요청,"제페토 오랜 유저 입니당 거의 초창기때 부터 재밌게 잘 즐기고 있구 오래전부터 꼭 지원을 바랬으면 하는 요청 사항이 있어 리뷰를 작성하게 되었어요 
샵에서 여러 옷을 입히고 하다 보면 눈에 피로가 옵니다 
샵에서의 배경이 지금은 흰색인데 다크모드도 지원 해주셨으면 좋겠습니다 꼭 부탁드려요 ㅠㅠㅠㅠ"
2022-07-21 05:57:50,4,0,0,젬이 너무 많이 들어요 ㅜ,안녕하세요👋🏻 제페토 유저입니다! 제페토를 하면서 정말 재미있고 완벽한 게임 같아요🫶🏻그런데 커스텀?같은것도 젬이 필요하고 예쁜옷도 젬이 많이 필요하더라고요 젬을 모아서 사면 되긴 하지만 조금 오래 걸리는거 같아요🥲
2022-07-21 05:25:32,2,0,0,비번 까먹은 후,"안녕하세요 제가 전에 잠깐 지워서 다시 깔았다가 하려구 이메일 클릭했는데 비번을 까먹었습니다.. 비밀번호 찾기 같은거 만들어주세요 그리고 제가 구글,이메일 전번 모두다 계정을 가입했는데 인스타로 가입 하게 해주세요
Hello, I tried to delete it for a while and re-released it, but I forgot the password. Please make a password search, and I signed up for an account last time on Google and email, so please let me sign up on Instagram."
