DATE,STAR,LIKE,DISLIKE,TITLE,REVIEW
2022-07-22 17:24:05,5,0,0,Can you?,"So the game is good but when I go to the photo booth i cant add my second character, I want to make an edit of both of them together"
2022-07-22 15:14:36,5,0,0,ZEPETO,Omg this game is so so so sooo amazing. I love the worlds but some of the people not so much. If you're looking for some drama this is the game to go to. One other thing is that girls mainly play thus game and most if the guys are girls irl. So I'd watch for who you fall head over heels for bc they can always deceive you. But god luck on your ZEPETO journey👽
2022-07-22 13:20:43,1,0,0,Do not play this at 3 AM,OK it’s the worst game so I was getting a snack and I was like playing the PEO and I got a snack and then I was like oh let’s play this game so then I got some snacks wait I logged in and then I got some snacks and then my character it was so scary and I said what in the world because it said I will hack you I will hack you I will hack you over and over so do not play this at 3 AM it also had bloody eyes and it said I will come I will come I will come
2022-07-22 11:51:14,3,0,0,I like,But I don’t put in my email in stuff so a 2
2022-07-22 10:04:01,5,0,0,About Zepeto,This game is fun
2022-07-21 21:19:04,4,0,0,Great game but a glitch..,I was crashing a lot today and this glitch happened when I was editing it was my character doin a different emote
2022-07-21 12:03:28,5,0,0,How do I fix it,It’s gilding em out of the game
2022-07-21 12:02:34,5,0,0,So fun and cool amazing aveter,⭐️⭐️⭐️⭐️⭐️⭐️
2022-07-21 11:30:06,1,0,0,THIS GAME IS SCARY,I downloaded this game because I was bored but then I was just playing my game crashed and I tried getting back in and i was just curious but that’s not all l was going to go to sleep and when I woke up my zepeto app was on and I didn’t even turn my iPad on and my toys were all knocked down when I woke up I recommend not to download this app
2022-07-21 10:47:43,1,0,0,I hate this game,Like it’s not fun at all to me no pressure but I really think you guys should make better games
2022-07-21 07:15:00,2,0,0,Not Satisfied,"I don’t usually write reviews, but I felt that I had to this time.  I like the app, it’s fun.  The reason I gave it a two is because I pay 3.99 per
Month for a premium subscription, and I am not getting anything premium.  There is no intelligent instructions.  I can’t do anything in my profile that I should be able to do.  It says I should be able to go to my profile page and find ITEM SHOP then gestures to make my own dance gestures, but none of that is on my profile page.  There is no number to contact support, just a bunch of topics to sort through and none of them answer the questions that I need answered.  There is no email address or phone number to contact anyone.  I’m a newbie to the sight and enjoy playing with it, but I have questions and need help.  I hope the developer see this and at least attempt to help me."
2022-07-21 01:09:43,5,0,0,Zepeto,So I wanted to say there has been technical issues with zepeto. and every time I put something on it logs me out so pls fix you’re app and every time I want to get the app and download it it doesn’t work PLEASE FIX YOUR APP.
2022-07-21 00:31:34,4,0,0,I want my zems back.,I love this app so much and I’ve been playing for years but recently there’s been some creator items that I bought that disappeared from my closet or just completely removed from game and I just don’t get my zems back??? I don’t think that’s pretty right. In the past I’ve had my zems given back to me when creator items were deleted but this time I gifted my second account a hair and when it was gone from that one I checked my main account and no pay back. Am I supposed to wait or what?? I want my zems back cause I spent actually money on them and I barely had any left anyways and I hate for them to be wasted like that.
2022-07-20 23:14:21,5,0,0,Rylei,King
2022-07-20 22:53:09,5,0,0,WHAT THE HEKC,MY AVATAR GLITCHED TINY BODY AFTER USING CAMERA 😢😢😢
2022-07-20 19:51:42,5,0,0,Plz add calling,So me and my friend have to use a calling app that is like- not working out and we can’t find a good calling app so this is out last chance:( please add calling
2022-07-20 17:04:12,1,0,0,PARENTS LOOK AT THIS,"Zepeto isn’t safe for your kids. It looks just like a fun multiplayer game put it isn’t. Zepeto is for old people to try and trick your children. This is for your safety. Honestly I had this app, and there were a lot of strangers telling me weird things and trying to date me. Check your child’s phone if they have it and make sure they are safe. This is not a safe app. Go on google and look up “Is Zepeto good for my child” and read a article about it. Trust me. Your children might trick you to thinking this is a safe app, and it’s not. Thank you for reading this and please be careful."
2022-07-20 15:33:17,4,0,0,I love this app BUT,I love this app it’s awesome!!! My only complaint is that you HAVE TO HAVE 10k followers to GO LIVE im at 5.0k it’s really hard to get there I WOUlD LOVE if they could lower this to like 4.0k or something thank you for your consideration!!!
2022-07-20 15:03:01,4,0,0,Really super but….,So u join Zepeto and u get ur clothes go to worlds have fun get friends and family and a bf And u really need to put in ALL the emoji’s because some emoji’s don’t show up so u gotta work on that 4 star rating also put it so it will not be low key scary game so much.
2022-07-20 13:40:56,5,0,0,Great app,"I love the app, but I hate that for me they removed all the other options to get zems other that the one where you have to take surveys. Other that it's a good app!"
2022-07-20 12:13:09,1,0,0,Sus,When I got into the game I heard like I heard breathing and her and then when I get off of it and then I got back on it the next day and then like I heard breathing again and then my Wi-Fi kind of like Matt was like going like a little like even it was like oh like my and I had no signal
2022-07-20 11:30:11,5,0,0,By ayo_maya,I loveeeeee ZEPETO it’s soo fun  every time I get on my phone I always play ZEPETO and roblox like both fun and soo fun to play I deathly recommend to play it like make a account and play with people from different countries soo yea that’s it byeee
2022-07-20 11:21:31,1,0,0,This is creppy,But I can hear breathing in this app idk if you can but pepol say the app records you. This is scary.
2022-07-20 10:52:56,1,0,0,Good but also bad,"Plz read 
I had this app it is good it logged me out"
2022-07-20 10:22:02,2,0,0,Um what?,"All the designs and stuff are great but lately ive been seeing a lot of inappropriate groups and even posts like, “Im hvrny” or “need bf/gf for sxx.” Looks like you need to change your age policy to 18+ or you need to start getting rid of these people making all these disgusting things, since everythings becoming not kid friendly."
2022-07-20 09:46:26,5,0,0,Me and my friend are weirded out???,Soo I was just looking for my BFF ZEPETO and then it said user not found so I called my BFF and then she looked at my zepeto and it said that for her to so then it went on for days sometimes it works sometimes it doesn't for both of us.
